"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
" ",--,8225.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8039.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8087.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8255.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8185.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8218.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8147.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8102.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8226.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8219.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8148.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8249.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8117.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8255.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8305.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8362.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8316.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8289.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8197.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8145.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8321.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8374.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8324.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8329.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8349.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8392.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8299.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8124.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8218.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8308.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8283.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8399.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8283.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8174.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8333.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8360.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
